date,quantity,price,ticker,cusip
2023-03-20,1075,19.41,OSTK,690370101
2023-03-21,16891,19.57,OSTK,690370101
2023-03-23,19,19.90,OSTK,690370101
2023-03-24,1055,19.50,OSTK,690370101
2023-03-28,623,19.25,OSTK,690370101
2023-04-14,2205,18.40,OSTK,690370101
2023-04-18,3965,19.54,OSTK,690370101
2023-04-19,3944,19.35,OSTK,690370101
2023-04-24,723,17.86,OSTK,690370101
2023-04-25,1972,18.17,OSTK,690370101
2023-04-26,4649,18.15,OSTK,690370101
2023-04-27,1225,18.07,OSTK,690370101
2023-04-28,50,20.13,OSTK,690370101
2023-05-01,508,20.36,OSTK,690370101
2023-05-02,48,19.61,OSTK,690370101
2023-05-10,53,20.67,OSTK,690370101
2023-05-15,39,19.34,OSTK,690370101
2023-05-16,3183,19.94,OSTK,690370101
2023-05-17,2129,18.42,OSTK,690370101
2023-05-18,2026,18.72,OSTK,690370101
2023-05-19,1992,18.55,OSTK,690370101
2023-05-23,242,17.79,OSTK,690370101
2023-05-24,550,17.60,OSTK,690370101
2023-05-25,319,17.92,OSTK,690370101
2023-05-26,2313,17.71,OSTK,690370101
2023-05-30,2279,18.08,OSTK,690370101
2023-05-31,19,18.96,OSTK,690370101
2023-06-02,2051,18.81,OSTK,690370101
2023-06-05,1939,19.68,OSTK,690370101
2023-06-06,3098,19.30,OSTK,690370101
2023-06-12,3608,20.74,OSTK,690370101
2023-06-14,583,20.96,OSTK,690370101
2023-06-15,1015,22.35,OSTK,690370101
2023-06-16,3,22.10,OSTK,690370101
2023-06-20,1668,21.93,OSTK,690370101
2023-06-21,292,20.62,OSTK,690370101
2023-06-22,1792,21.18,OSTK,690370101
2023-06-23,2031,24.84,OSTK,690370101
2023-06-27,3048,23.06,OSTK,690370101
2023-06-28,4367,24.07,OSTK,690370101
2023-06-29,1492,25.54,OSTK,690370101
2023-06-30,11964,30.57,OSTK,690370101
2023-07-03,1504,32.57,OSTK,690370101
2023-07-05,2593,32.06,OSTK,690370101
2023-07-06,300,31.15,OSTK,690370101
2023-07-11,99,29.58,OSTK,690370101
2023-07-17,2600,31.28,OSTK,690370101
2023-07-18,238,32.36,OSTK,690370101
2023-07-19,350,32.23,OSTK,690370101
2023-07-20,1031,31.94,OSTK,690370101
2023-07-21,6000,31.74,OSTK,690370101
2023-07-24,159,32.04,OSTK,690370101
2023-07-25,12600,30.92,OSTK,690370101
2023-07-27,46,31.09,OSTK,690370101
2023-07-31,2387,34.99,OSTK,690370101
2023-08-01,100,36.47,OSTK,690370101
2023-08-03,1236,37.86,OSTK,690370101
2023-08-04,230,36.22,OSTK,690370101
2023-08-07,2347,33.86,OSTK,690370101
2023-08-09,67,32.50,OSTK,690370101
2023-08-10,4340,30.92,OSTK,690370101
2023-08-14,1036,31.53,OSTK,690370101
2023-08-15,14328,31.71,OSTK,690370101
2023-08-16,14125,29.95,OSTK,690370101
2023-08-17,102,27.01,OSTK,690370101
2023-08-18,2515,26.19,OSTK,690370101
2023-08-21,7,26.30,OSTK,690370101
2023-08-22,30753,25.03,OSTK,690370101
2023-08-23,2764,23.92,OSTK,690370101
2023-08-24,1,24.22,OSTK,690370101
2023-08-25,1950,24.06,OSTK,690370101
2023-08-29,41,25.40,OSTK,690370101
2023-08-30,130,26.58,OSTK,690370101
2023-08-31,2,26.21,OSTK,690370101
2023-09-05,50,26.54,OSTK,690370101
2023-09-06,15279,27.43,OSTK,690370101
2023-09-08,3108,20.59,OSTK,690370101
2023-09-11,27056,20.91,OSTK,690370101
2023-09-12,26642,20.95,OSTK,690370101
2023-09-13,3983,20.31,OSTK,690370101
2023-09-14,17065,21.40,OSTK,690370101
2023-09-18,4100,19.87,OSTK,690370101
2023-09-20,394,18.20,OSTK,690370101
2023-09-21,5895,17.95,OSTK,690370101
2023-09-22,2681,17.71,OSTK,690370101
2023-09-25,4744,17.32,OSTK,690370101
2023-09-27,1357,16.31,OSTK,690370101
2023-09-28,6111,15.79,OSTK,690370101
2023-09-29,1,15.91,OSTK,690370101
2023-10-04,778,15.03,OSTK,690370101
2023-10-05,2033,14.93,OSTK,690370101
2023-10-10,2589,16.14,OSTK,690370101
2023-10-11,921,16.72,OSTK,690370101
2023-10-12,40981,16.16,OSTK,690370101
2023-10-23,2912,15.54,OSTK,690370101
2023-10-24,2073,15.31,OSTK,690370101
2023-10-26,297,15.30,OSTK,690370101
2023-10-27,2084,15.40,OSTK,690370101
2023-10-30,1509,13.93,OSTK,690370101
2023-10-31,73562,15.64,OSTK,690370101
2023-11-06,94,16.78,OSTK,690370101
2023-11-07,3637,16.20,BYON,690370101
2023-11-08,65042,16.80,BYON,690370101
2023-11-09,9595,16.33,BYON,690370101
2023-11-10,116095,15.52,BYON,690370101
