date,quantity
2013-10-21,39
2013-10-22,491
2013-10-23,1992
2013-10-24,400
2013-10-25,2488
2013-10-28,1899
2013-10-29,200
2013-10-30,75012
2013-10-31,149049
2013-11-05,1
2013-11-06,76
2013-11-07,2884
2013-11-08,1210
2013-11-12,249
2013-11-14,164
2013-11-15,61993
2013-11-18,237
2013-11-19,19194
2013-11-20,200
2013-11-21,108
2013-11-22,2427
2013-11-25,1974
2013-11-26,1460
2013-11-29,144
2013-12-02,378
2013-12-03,310
2013-12-04,105
2013-12-05,631
2013-12-06,3491
2013-12-09,54
2013-12-10,6
2013-12-11,55132
2013-12-12,295
2013-12-13,136
2013-12-16,200
2013-12-17,508
2013-12-19,1752
2013-12-20,1318
2013-12-23,19108
2013-12-24,33
2013-12-26,74700
2013-12-27,70048
2013-12-30,7583
2013-12-31,1693
2014-01-02,517
2014-01-03,56
2014-01-07,569
2014-01-08,7925
2014-01-09,1303
2014-01-10,3
2014-01-13,23577
2014-01-15,940
2014-01-16,527
2014-01-17,717
2014-01-21,867
2014-01-22,22646
2014-01-23,11
2014-01-24,1215
2014-01-27,138
2014-01-28,1196
2014-01-29,4
2014-02-03,20872
2014-02-04,369
2014-02-05,265
2014-02-06,191684
2014-02-07,240005
2014-02-10,433
2014-02-11,878
2014-02-12,1121
2014-02-13,2226
2014-02-14,22
2014-02-18,566
2014-02-21,5892
2014-02-24,5990
2014-02-26,333
2014-02-27,1570
2014-02-28,303
2014-03-03,490
2014-03-04,500
2014-03-05,3744
2014-03-06,4407
2014-03-07,2985
2014-03-10,425
2014-03-11,1
2014-03-12,3137
2014-03-13,509
2014-03-14,5941
2014-03-17,867
2014-03-19,144
2014-03-20,15282
2014-03-21,753
2014-03-24,1888
2014-03-25,542
2014-03-26,604363
2014-03-27,92
2014-03-28,118
2014-04-01,75
2014-04-02,1240
2014-04-03,7
2014-04-04,40203
2014-04-07,1
2014-04-08,93
2014-04-09,1385
2014-04-10,18702
2014-04-11,10
2014-04-14,10
2014-04-15,673
2014-04-16,20
2014-04-17,139
2014-04-21,164
2014-04-22,504
2014-04-23,144
2014-04-24,43
2014-04-28,7316
2014-04-29,23783
2014-04-30,10409
2014-05-01,1131
2014-05-02,30
2014-05-05,18608
2014-05-06,655
2014-05-07,56218
2014-05-08,564
2014-05-13,5
2014-05-14,595
2014-05-15,30
2014-05-16,46
2014-05-19,983
2014-05-20,680
2014-05-21,9350
2014-05-22,1948
2014-05-23,3649
2014-05-27,1
2014-05-28,1817
2014-05-29,367
2014-05-30,1008
2014-06-02,298
2014-06-03,2404
2014-06-04,3
2014-06-05,81728
2014-06-06,2080
2014-06-09,66348
